,,data,Edward_II_Marlowe.tok,Hamlet_Shakespeare.tok,Henry_VI_Part1_Shakespeare.tok,Henry_VI_Part2_Shakespeare.tok,Jew_of_Malta_Marlowe.tok,Richard_II_Shakespeare.tok
s,128,much,0.0010179843909060061,0.0016612399494983056,0.0006637273028966956,0.0005999520038396928,0.0014721703187814959,0.0008971426008163997
s,129,must,0.002957002278346018,0.0019934879393979665,0.0011852273266012422,0.0009599232061435085,0.0023781212841854932,0.0022428565020409996
s,130,my,0.022589558388676136,0.017044321881852616,0.015360546152752098,0.01655867530597552,0.017099824472000452,0.020948279729062935
s,131,myself,0.0004847544718600029,0.0003654727888896272,0.0005689091167685962,0.0010799136069114472,0.0008493290300662477,0.0011662853810613196
s,132,need,0.0002908526831160017,0.00013289919595986445,0.00014222727919214906,0.0001999840012798976,0.00022648774135099938,0.00022428565020409994
s,133,needs,9.695089437200058e-05,0.00023257359292976277,,0.0001999840012798976,0.00022648774135099938,8.971426008163998e-05
s,134,never,0.0011149352852780068,0.0008638447737391189,0.0011852273266012422,0.00167986561075114,0.0010191948360794973,0.0010765711209796797
s,135,new,0.00024237723593000145,6.644959797993223e-05,0.00023704546532024842,0.00011999040076793856,0.00033973161202649905,0.0004485713004081999
s,136,next,0.00024237723593000145,0.00016612399494983054,0.0003318636514483478,0.00047996160307175426,5.6621935337749844e-05,0.00031399991028573993
s,137,no,0.0029085268311600174,0.0038208518838461028,0.003982363817380173,0.003679705623550116,0.0041900232149934885,0.003857713183510519
s,138,not,0.010858500169664066,0.010366137284869426,0.008391409472336794,0.008119350451963842,0.01115452126153672,0.009195711658368098
s,139,nothing,0.00019390178874400117,0.0010299687686889493,0.00023704546532024842,0.00023998080153587713,0.00039635354736424893,0.0011214282510204998
s,140,now,0.003878035774880023,0.0032560303010166786,0.0035082728867396767,0.00335973122150228,0.006341656757827983,0.0026914278024491992
s,141,nowhere,9.695089437200058e-05,,,,,
s,142,o,0.0019390178874400116,0.005050169446474849,0.002086000094818186,0.0021198304135669147,0.0005662193533774985,0.0020634279818777194
s,143,of,0.019293227980028117,0.0218619177353977,0.02545868297539468,0.021038316934645227,0.017496178019364702,0.022607993540573273
s,144,off,0.0008240826021620049,0.0004983719848494916,0.00042668183757644715,0.00047996160307175426,0.0005095974180397486,0.0009868568608980396
s,145,often,9.695089437200058e-05,6.644959797993223e-05,9.481818612809937e-05,0.0001999840012798976,,4.485713004081999e-05
